City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tiksi,71.6366,128.8685,277.89,89,97,2.28,RU,1724178757
83,katabu,10.6948,7.5116,299.66,72,91,3.7,NG,1724217634
84,nova vicosa,-17.8919,-39.3719,300.12,57,4,2.19,BR,1724230368
85,okha,53.5891,142.9498,289.2,83,100,2.86,RU,1724181477
86,whitehorse,60.72,-135.0519,275.58,93,0,1.54,CA,1724246879
87,albany,42.65,-73.7467,288.99,86,75,1.79,US,1724234922
88,ushuaia,-54.8061,-68.3185,273.98,80,20,3.09,AR,1724240395
89,porto novo,6.4991,2.6253,303.0,59,60,4.7,BJ,1724219028
90,brisas de zicatela,15.8367,-97.0429,299.18,77,0,1.39,MX,1724242449
91,newport,41.49,-71.3138,289.96,75,0,3.09,US,1724234452
92,olonkinbyen,70.9224,-8.716,277.56,94,87,6.35,SJ,1724212413
93,champerico,14.2937,-91.9118,299.45,76,9,2.36,GT,1724241302
94,nemuro,43.3301,145.5829,289.6,89,6,4.41,JP,1724182173
95,lensk,60.7145,114.9172,288.71,84,96,2.51,RU,1724186784
96,ghanzi,-21.6968,21.6457,301.77,9,6,3.86,BW,1724215945
97,margate,51.3878,1.382,294.71,47,100,0.45,GB,1724215829
98,gadzhiyevo,69.2504,33.3153,293.58,51,100,7.59,RU,1724203302
99,qaqortoq,60.7182,-46.0385,278.18,78,11,2.51,GL,1724225479
100,canals,43.8525,1.2928,297.21,31,2,4.08,FR,1724216775
101,sinabang,2.4795,96.3806,299.85,78,100,1.22,ID,1724196737
102,hermanus,-34.4175,19.2361,285.84,61,66,9.13,ZA,1724217338
103,murzuq,25.9141,13.9197,316.23,8,1,3.38,LY,1724215207
104,nurota,40.559,65.686,305.0,18,0,6.27,UZ,1724201638
105,puerto san carlos,-12.6608,-63.55,304.13,25,4,2.16,BR,1724235888
106,ati,49.0155,4.1278,293.25,48,100,3.82,FR,1724215493
107,aasiaat,68.7096,-52.8513,275.41,91,98,1.95,GL,1724224327
108,san antonio de pale,-1.4046,5.6326,296.46,79,55,4.2,GQ,1724218712
109,luderitz,-26.65,15.1573,293.96,47,0,12.0,NA,1724217797
110,maintirano,-18.0609,44.024,299.26,48,0,8.0,MG,1724210371
111,barranca,-10.7541,-77.7609,289.42,82,72,2.83,PE,1724239198
112,nizhnyaya tavda,57.6652,66.1723,293.21,65,82,2.62,RU,1724199188
113,port moresby,-9.4743,147.16,299.68,78,100,5.14,PG,1724185169
114,jaguey grande,22.5269,-81.1287,299.69,72,100,1.35,CU,1724238239
115,barah,13.6968,30.3704,301.15,63,99,10.79,SD,1724211985
116,uturoa,-16.7437,-151.4594,296.45,64,99,11.08,PF,1724257194
117,tucurui,-3.7663,-49.6664,305.4,43,5,2.36,BR,1724232100
118,albufeira,37.1445,-8.2146,297.55,74,0,4.88,PT,1724219691
119,chamical,-30.3595,-66.3128,285.07,67,82,2.57,AR,1724237573
120,ginir,7.1384,40.7117,290.02,65,65,7.28,ET,1724209854
121,pozo alcon,37.702,-2.9327,306.66,24,0,3.91,ES,1724218375
122,weno,7.4401,151.857,300.87,71,93,2.93,FM,1724183165
123,punta arenas,-53.1626,-70.9078,274.31,93,20,4.63,CL,1724240780
124,saint-pierre,48.3833,7.4719,297.14,37,99,3.49,FR,1724214770
125,papao,12.6919,-16.3792,303.21,79,75,1.03,SN,1724223261
126,novaya lyalya,59.0527,60.596,289.13,87,34,2.61,RU,1724200234
127,xiulin,24.1202,121.6261,301.9,87,0,2.57,TW,1724189465
128,kibakwe,-6.7114,36.3731,298.93,34,71,4.69,TZ,1724211606
129,port shepstone,-30.7428,30.4506,297.96,43,0,1.49,ZA,1724214393
130,yerofey pavlovich,53.9592,121.9524,292.99,64,100,2.18,RU,1724186461
131,bubaque,11.2997,-15.8335,299.66,81,100,7.11,GW,1724223205
132,tura,47.39,0.6889,294.47,46,40,1.54,FR,1724216522
133,moyale,3.5242,39.0513,294.35,57,100,7.44,KE,1724210440
134,happy valley-goose bay,53.2964,-60.3112,287.44,72,20,3.09,CA,1724230365
135,solleftea,63.3833,16.9167,292.94,48,41,5.78,SE,1724209614
136,leiston,52.2065,1.5764,295.31,47,100,7.21,GB,1724215662
137,ribeira brava,32.6701,-17.065,300.4,57,79,0.86,PT,1724222173
138,arkhara,49.4224,130.0858,291.26,88,100,1.17,RU,1724185179
139,chonchi,-42.624,-73.7724,277.88,87,93,0.42,CL,1724240300
140,undurkhaan,47.3256,110.6649,291.23,73,98,1.77,MN,1724190111
141,kokshetau,53.2852,69.3815,296.33,49,75,3.0,KZ,1724199203
142,klyuchi,56.3182,160.8422,284.66,63,100,1.56,RU,1724263219
143,harstad,68.9297,16.5209,284.62,90,100,2.07,NO,1724207516
144,saipan,15.191,145.7467,299.26,83,75,4.63,MP,1724184209
145,trondheim,63.4305,10.3951,287.18,94,100,1.3,NO,1724211168
146,laboulaye,-34.1286,-63.3906,279.67,92,100,4.83,AR,1724237131
147,rosetta,31.4044,30.4164,303.66,58,0,6.01,EG,1724210866
148,lihue,21.977,-159.3688,296.76,94,41,4.86,US,1724257054
149,krichim,42.0423,24.4703,298.52,71,100,1.51,BG,1724211393
150,fonte boa,-2.55,-66.9132,301.93,61,11,1.04,BR,1724236177
151,ternate,45.7823,8.6903,306.8,37,0,2.57,IT,1724214788
152,jatai,62.1641,129.8431,288.18,88,0,3.0,RU,1724182813
153,nahiyat ash shinafiyah,31.582,44.6489,319.16,6,0,4.52,IQ,1724207436
154,jacksonville,30.3278,-81.6607,301.51,90,40,3.09,US,1724237854
155,afaahiti,-17.739,-149.29,295.99,76,97,11.67,PF,1724256727
156,inhambane,-23.866,35.3844,298.78,51,0,4.56,MZ,1724212776
157,alvorada,-29.9981,-51.0773,296.45,82,99,2.59,BR,1724233896
158,alenquer,39.0566,-9.0076,300.12,29,0,5.46,PT,1724219714
159,banda aceh,5.5528,95.3193,300.59,82,100,5.64,ID,1724196832
160,ancud,-41.8682,-73.8287,277.8,89,24,3.68,CL,1724240246
161,anadyr,64.7317,177.5061,280.08,93,100,3.0,RU,1724257145
162,dera ghazi khan,30.0321,70.6401,310.74,37,16,4.3,PK,1724201308
163,la passe,46.2035,-1.4601,294.23,62,90,4.73,FR,1724217178
164,nagqu,31.4786,92.0498,280.84,76,7,2.63,CN,1724196063
165,puerto baquerizo moreno,-0.9026,-89.6102,293.28,82,100,7.28,EC,1724241540
166,arthur's town,24.6225,-75.6755,302.47,72,91,6.48,BS,1724236799
167,calama,-22.4624,-68.9272,282.37,53,0,4.12,CL,1724237714
168,el tigre,8.8856,-64.2487,300.5,73,20,3.37,VE,1724234953
169,lerwick,60.1531,-1.1427,285.7,81,100,7.61,GB,1724214823
170,saint croix,17.729,-64.759,303.09,84,0,5.14,VI,1724234593
171,muravlenko,63.7948,74.4969,290.97,53,78,2.73,RU,1724195640
172,maryborough,-25.5376,152.7019,288.98,97,84,1.25,AU,1724184738
173,soligalich,59.0778,42.2862,294.0,47,11,2.82,RU,1724204629
174,igarka,67.4566,86.5308,289.98,64,44,2.71,RU,1724191375
175,gia nghia,12.0006,107.696,293.87,100,100,1.62,KH,1724193519
176,bredasdorp,-34.5331,20.0428,285.74,60,42,10.32,ZA,1724217153
177,west island,-12.1459,96.8423,300.18,83,20,3.09,CC,1724197381
178,mana,43.0818,0.9505,295.53,61,57,1.57,FR,1724216937
179,vadso,70.2267,29.7828,288.26,72,40,4.12,NO,1724203589
180,codrington,51.5082,-2.3937,290.92,67,100,3.13,GB,1724216719
181,hawaiian paradise park,19.585,-154.9731,295.8,95,100,2.06,US,1724256140
182,acapulco de juarez,16.868,-99.894,297.03,80,5,1.93,MX,1724243075
183,tosontsengel,49.4757,100.8926,290.14,74,98,1.42,MN,1724192185
184,hami,42.8174,93.5142,305.74,19,99,2.83,CN,1724194732
185,ust-nera,64.5664,143.2378,282.59,66,17,2.85,RU,1724178854
186,chu,21.3733,106.566,300.94,90,100,1.87,VN,1724193252
187,egersund,58.4515,6.0008,288.78,68,0,4.74,NO,1724213488
188,sisimiut,66.9401,-53.6689,278.65,81,50,4.53,GL,1724225332
189,nova sintra,14.8711,-24.6956,297.41,68,62,4.0,CV,1724225137
190,shani,10.201,12.019,304.1,55,100,2.91,NG,1724216579
191,wynyard,51.7667,-104.1833,291.14,88,100,1.03,CA,1724241138
192,zhanaozen,43.3381,52.8556,306.9,14,0,1.07,KZ,1724204444
193,east london,-33.0192,27.8999,293.79,60,0,9.26,ZA,1724215160
194,'ibri,23.2179,56.4922,308.76,44,16,2.92,OM,1724205159
195,sao jose da coroa grande,-8.8894,-35.1515,299.81,71,49,4.72,BR,1724228879
196,kapuskasing,49.4167,-82.4333,281.2,100,20,1.03,CA,1724236236
197,cabo san lucas,22.8939,-109.9201,301.24,60,15,3.75,MX,1724245128
198,siwa oasis,29.2035,25.5192,314.51,13,0,5.59,EG,1724212200
199,bac lieu,9.2825,105.7261,301.43,79,12,3.82,VN,1724194138
200,saint-philippe,45.3584,-73.479,287.22,97,100,3.09,CA,1724234573
